num_intervals,final_time_seconds,reduced_dimension,condition_number,condition_number_after_diagonal_rescaling,smallest_eigenvalue,largest_eigenvalue,maximum_control_m_per_s2,acceleration_bound_inactive
15,300.0,39,10.96621458049144,11.12915970282776,357911.5006892166,3924934.3173836595,0.034255004932921725,0
30,600.0,84,45.50811720895852,55.381233556122325,356616.13696151384,16228928.959450575,0.017889578016818102,0
60,1200.0,174,233.62085575038216,383.45662753999136,356298.9444974161,83238864.31644426,0.011737538335204684,0
120,2400.0,354,1834.7904933698312,5280.359078496269,356228.03896481165,653603819.3644142,0.01028896799754102,0
240,4800.0,714,35474.57521492328,189405.40491643857,356209.66118625534,12636386418.034153,0.010193951350147295,0
